CBSAMET_KEY,CBSAMET_NAME,INCOME,SIZE1,Count
10180,"Abilene, TX Metro","Income $100,000 - $124,999",1 Member HH,880
10180,"Abilene, TX Metro","Income $100,000 - $124,999",2 Member HH,1834
10180,"Abilene, TX Metro","Income $100,000 - $124,999",3 Member HH,644
10180,"Abilene, TX Metro","Income $100,000 - $124,999",4 Member HH,402
10180,"Abilene, TX Metro","Income $100,000 - $124,999",5+ Member HH,608
10180,"Abilene, TX Metro","Income $125,000 - $149,999",1 Member HH,410
10180,"Abilene, TX Metro","Income $125,000 - $149,999",2 Member HH,839
10180,"Abilene, TX Metro","Income $125,000 - $149,999",3 Member HH,377
10180,"Abilene, TX Metro","Income $125,000 - $149,999",4 Member HH,297
10180,"Abilene, TX Metro","Income $125,000 - $149,999",5+ Member HH,464
10180,"Abilene, TX Metro","Income $15,000 - $24,999",1 Member HH,2758
10180,"Abilene, TX Metro","Income $15,000 - $24,999",2 Member HH,2982
10180,"Abilene, TX Metro","Income $15,000 - $24,999",3 Member HH,860
10180,"Abilene, TX Metro","Income $15,000 - $24,999",4 Member HH,451
10180,"Abilene, TX Metro","Income $15,000 - $24,999",5+ Member HH,567
10180,"Abilene, TX Metro","Income $150,000 - $174,999",1 Member HH,357
10180,"Abilene, TX Metro","Income $150,000 - $174,999",2 Member HH,612
10180,"Abilene, TX Metro","Income $150,000 - $174,999",3 Member HH,204
10180,"Abilene, TX Metro","Income $150,000 - $174,999",4 Member HH,133
10180,"Abilene, TX Metro","Income $150,000 - $174,999",5+ Member HH,184
10180,"Abilene, TX Metro","Income $175,000 - $199,999",1 Member HH,50
10180,"Abilene, TX Metro","Income $175,000 - $199,999",2 Member HH,155
10180,"Abilene, TX Metro","Income $175,000 - $199,999",3 Member HH,78
10180,"Abilene, TX Metro","Income $175,000 - $199,999",4 Member HH,68
10180,"Abilene, TX Metro","Income $175,000 - $199,999",5+ Member HH,90
10180,"Abilene, TX Metro","Income $200,000 - $249,999",1 Member HH,152
10180,"Abilene, TX Metro","Income $200,000 - $249,999",2 Member HH,246
10180,"Abilene, TX Metro","Income $200,000 - $249,999",3 Member HH,102
10180,"Abilene, TX Metro","Income $200,000 - $249,999",4 Member HH,71
10180,"Abilene, TX Metro","Income $200,000 - $249,999",5+ Member HH,107
10180,"Abilene, TX Metro","Income $25,000 - $34,999",1 Member HH,2573
10180,"Abilene, TX Metro","Income $25,000 - $34,999",2 Member HH,2942
10180,"Abilene, TX Metro","Income $25,000 - $34,999",3 Member HH,907
10180,"Abilene, TX Metro","Income $25,000 - $34,999",4 Member HH,449
10180,"Abilene, TX Metro","Income $25,000 - $34,999",5+ Member HH,564
10180,"Abilene, TX Metro","Income $250,000+",1 Member HH,279
