,CBSAMET_KEY,CBSAMET_NAME,INCOME,SIZE1,Count,Income_Class
0,10180,"Abilene, TX Metro","Income $100,000 - $124,999",1 Member HH,880,Upper
1,10180,"Abilene, TX Metro","Income $125,000 - $149,999",1 Member HH,410,Upper
2,10180,"Abilene, TX Metro","Income $15,000 - $24,999",1 Member HH,2758,Lower
3,10180,"Abilene, TX Metro","Income $150,000 - $174,999",1 Member HH,357,Upper
4,10180,"Abilene, TX Metro","Income $175,000 - $199,999",1 Member HH,50,Upper
5,10180,"Abilene, TX Metro","Income $200,000 - $249,999",1 Member HH,152,Upper
6,10180,"Abilene, TX Metro","Income $25,000 - $34,999",1 Member HH,2573,Middle
7,10180,"Abilene, TX Metro","Income $250,000+",1 Member HH,279,Upper
8,10180,"Abilene, TX Metro","Income $35,000 - $49,999",1 Member HH,3003,Middle
9,10180,"Abilene, TX Metro","Income $50,000 - $74,999",1 Member HH,2423,Middle
10,10180,"Abilene, TX Metro","Income $75,000 - $99,999",1 Member HH,967,Upper
11,10180,"Abilene, TX Metro","Income <$15,000",1 Member HH,2995,Lower
12,10180,"Abilene, TX Metro","Income $100,000 - $124,999",2 Member HH,1834,Upper
13,10180,"Abilene, TX Metro","Income $125,000 - $149,999",2 Member HH,839,Upper
14,10180,"Abilene, TX Metro","Income $15,000 - $24,999",2 Member HH,2982,Lower
15,10180,"Abilene, TX Metro","Income $150,000 - $174,999",2 Member HH,612,Upper
16,10180,"Abilene, TX Metro","Income $175,000 - $199,999",2 Member HH,155,Upper
17,10180,"Abilene, TX Metro","Income $200,000 - $249,999",2 Member HH,246,Upper
18,10180,"Abilene, TX Metro","Income $25,000 - $34,999",2 Member HH,2942,Lower
19,10180,"Abilene, TX Metro","Income $250,000+",2 Member HH,521,Upper
20,10180,"Abilene, TX Metro","Income $35,000 - $49,999",2 Member HH,4606,Middle
21,10180,"Abilene, TX Metro","Income $50,000 - $74,999",2 Member HH,4540,Middle
22,10180,"Abilene, TX Metro","Income $75,000 - $99,999",2 Member HH,2611,Middle
23,10180,"Abilene, TX Metro","Income <$15,000",2 Member HH,3477,Lower
24,10180,"Abilene, TX Metro","Income $100,000 - $124,999",3 Member HH,644,Middle
25,10180,"Abilene, TX Metro","Income $125,000 - $149,999",3 Member HH,377,Upper
26,10180,"Abilene, TX Metro","Income $15,000 - $24,999",3 Member HH,860,Lower
27,10180,"Abilene, TX Metro","Income $150,000 - $174,999",3 Member HH,204,Upper
28,10180,"Abilene, TX Metro","Income $175,000 - $199,999",3 Member HH,78,Upper
29,10180,"Abilene, TX Metro","Income $200,000 - $249,999",3 Member HH,102,Upper
30,10180,"Abilene, TX Metro","Income $25,000 - $34,999",3 Member HH,907,Lower
31,10180,"Abilene, TX Metro","Income $250,000+",3 Member HH,182,Upper
32,10180,"Abilene, TX Metro","Income $35,000 - $49,999",3 Member HH,1219,Middle
33,10180,"Abilene, TX Metro","Income $50,000 - $74,999",3 Member HH,2194,Middle
34,10180,"Abilene, TX Metro","Income $75,000 - $99,999",3 Member HH,1332,Middle
35,10180,"Abilene, TX Metro","Income <$15,000",3 Member HH,590,Lower
36,10180,"Abilene, TX Metro","Income $100,000 - $124,999",4 Member HH,402,Middle
37,10180,"Abilene, TX Metro","Income $125,000 - $149,999",4 Member HH,297,Middle
38,10180,"Abilene, TX Metro","Income $15,000 - $24,999",4 Member HH,451,Lower
39,10180,"Abilene, TX Metro","Income $150,000 - $174,999",4 Member HH,133,Upper
40,10180,"Abilene, TX Metro","Income $175,000 - $199,999",4 Member HH,68,Upper
41,10180,"Abilene, TX Metro","Income $200,000 - $249,999",4 Member HH,71,Upper
42,10180,"Abilene, TX Metro","Income $25,000 - $34,999",4 Member HH,449,Lower
43,10180,"Abilene, TX Metro","Income $250,000+",4 Member HH,107,Upper
